1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
4	W	115
0	R	115
0	W	115
4	J	211
4	R	211
4	W	211
0	R	211
4	J	215
4	R	215
4	W	215
0	R	215
4	J	220
4	R	220
4	W	220
0	R	220
4	J	224
4	R	224
4	W	224
0	R	224
4	J	242
4	R	242
4	W	242
0	R	242
4	J	252
4	R	252
4	W	252
0	R	252
4	J	255
4	R	255
4	W	255
0	R	255
4	J	261
4	R	261
4	W	261
0	R	261
4	J	262
4	R	262
4	W	262
0	R	262
4	J	268
4	R	268
4	W	268
0	R	268
4	J	284
4	R	284
4	W	290
0	R	290
4	J	293
4	R	293
4	W	293
0	R	293
4	J	328
4	R	328
6	N	329
6	J	329
4	W	330
6	R	330
7	N	331
7	J	332
8	N	332
8	J	333
9	N	333
9	J	333
10	N	333
10	J	334
6	W	334
10	R	334
10	J	349
9	R	349
9	J	364
8	R	364
8	W	364
7	R	364
7	J	379
10	R	379
10	J	394
9	R	394
9	J	409
7	R	409
7	J	424
10	R	424
10	J	439
9	R	439
9	J	454
7	R	454
8	J	469
7	J	469
8	R	469
8	W	469
10	R	469
10	J	484
9	R	484
9	J	499
7	R	499
7	J	514
10	R	514
10	J	529
9	R	529
9	J	544
7	R	544
7	J	559
10	R	559
8	J	574
10	J	574
8	R	574
8	W	574
9	R	574
9	J	589
7	R	589
7	J	604
10	R	604
10	J	619
9	R	619
9	W	629
7	R	629
7	J	644
10	R	644
10	J	659
7	R	659
7	J	674
10	R	674
8	J	689
10	J	689
8	R	689
8	W	689
7	R	689
7	J	704
10	R	704
10	J	719
7	R	719
9	J	734
7	J	734
9	R	734
9	W	734
10	R	734
10	J	749
7	R	749
7	J	764
10	R	764
10	J	779
7	R	779
8	J	794
7	J	794
8	R	794
8	W	794
10	R	794
10	J	809
7	R	809
7	J	824
10	R	824
9	J	839
10	J	839
9	R	839
9	W	839
7	R	839
7	J	854
10	R	854
10	J	869
7	R	869
7	J	884
10	R	884
8	J	899
10	J	899
8	R	899
8	W	899
7	R	899
7	J	914
10	R	914
10	J	929
7	R	929
9	J	944
7	J	944
9	R	944
9	W	944
10	R	944
10	J	959
7	R	959
7	J	974
10	R	974
10	J	989
7	R	989
8	J	1004
7	J	1004
8	R	1004
8	W	1004
10	R	1004
10	J	1019
7	R	1019
7	J	1034
10	R	1034
9	J	1049
10	J	1049
9	R	1049
9	W	1049
7	R	1049
7	J	1064
10	R	1064
10	J	1079
7	R	1079
7	J	1094
10	R	1094
8	J	1109
10	J	1109
8	R	1109
8	W	1109
7	R	1109
7	J	1124
10	R	1124
10	J	1139
7	R	1139
9	J	1154
7	J	1154
9	R	1154
9	W	1154
10	R	1154
10	J	1169
7	R	1169
7	J	1184
10	R	1184
10	J	1199
7	R	1199
8	J	1214
7	J	1214
8	R	1214
8	W	1214
10	R	1214
10	J	1229
7	R	1229
7	J	1244
10	R	1244
9	J	1259
10	J	1259
9	R	1259
9	W	1259
7	R	1259
7	J	1274
10	R	1274
10	J	1289
7	R	1289
7	J	1304
10	R	1304
8	J	1319
10	J	1319
8	R	1319
8	W	1319
7	R	1319
7	J	1334
10	R	1334
10	J	1349
7	R	1349
9	J	1364
7	J	1364
9	R	1364
9	W	1364
10	R	1364
10	J	1379
7	R	1379
7	J	1394
10	R	1394
10	J	1409
7	R	1409
8	J	1424
7	J	1424
8	R	1424
8	E	1424
6	J	1424
6	R	1424
6	W	1424
10	R	1424
10	J	1439
7	R	1439
7	J	1454
10	R	1454
9	J	1469
10	J	1469
